Data,Background,Degrees,Channel Min,Channel Max
2023_11_10_1614_Cs137_0d.csv,2023_11_03_1206_BG_4hours.csv,0,500,625
2023_11_10_1207_Cs137_10d.csv,2023_11_10_1230_Cs137_10d_BG.csv,10,500,625
2023_11_10_1118_Cs137_20d.csv,2023_11_10_1139_Cs137_20d_BG.csv,20,475,625
2023_11_14_1455_Cs137_25d.csv,2023_11_14_1516_Cs137_25d_BG.csv,25,425,625
2023_11_10_1031_Cs137_30d.csv,2023_11_10_1053_Cs137_30d_BG.csv,30,400,600
2023_11_14_1026_Cs137_35d.csv,2023_11_14_1048_Cs137_35d_BG.csv,35,400,600
2023_11_10_0940_Cs137_40d.csv,2023_11_10_1010_Cs137_40d_BG.csv,40,350,580
2023_11_14_1112_Cs137_45d.csv,2023_11_14_1112_Cs137_45d_BG.csv,45,300,600
2023_11_10_1525_Cs137_50d.csv,2023_11_10_1546_Cs137_50d_BG.csv,50,300,530
2023_11_14_1200_Cs137_55d.csv,2023_11_14_1432_Cs137_55d_BG.csv,55,300,500
2023_11_10_1434_Cs137_60d.csv,2023_11_10_1455_Cs137_60d_BG.csv,60,300,450
2023_11_14_1539_Cs137_65d.csv,2023_11_14_1600_Cs137_65d_BG.csv,65,250,450
2023_11_10_1348_Cs137_70d.csv,2023_11_10_1409_Cs137_70d_BG.csv,70,275,400
2023_11_16_0954_Cs137_75d.csv,2023_11_16_1016_Cs137_75d_BG.csv,75,250,400
2023_11_09_1107_Cs137_80d.csv,2023_11_09_1139_Cs137_80d_BG.csv,80,250,370
2023_11_16_1048_Cs137_85d.csv,2023_11_16_1112_Cs137_85d_BG.csv,85,220,350
2023_11_09_1021_Cs137_90d.csv,2023_11_09_1042_Cs137_90d_BG.csv,90,220,330
2023_11_16_1134_Cs137_95d.csv,2023_11_16_1155_Cs137_95d_BG.csv,95,200,330
2023_11_09_0931_Cs137_100d.csv,2023_11_09_0958_Cs137_100d_BG.csv,100,200,300
2023_11_16_1443_Cs137_105d.csv,2023_11_16_1504_Cs137_105d_BG.csv,105,180,300
2023_11_07_1536_Cs137_110d.csv,2023_11_07_1553_Cs137_110d_BG.csv,110,180,280
2023_11_16_1526_Cs137_115d.csv,2023_11_16_1552_Cs137_115d_BG.csv,115,180,280
2023_11_08_1032_Cs137_120d.csv,2023_11_08_1053_Cs137_120d_BG.csv,120,180,270
2023_11_08_1116_Cs137_130d.csv,2023_11_08_1137_Cs137_130d_BG.csv,130,160,260
2023_11_07_1450_Cs137_140d.csv,2023_11_07_1515_Cs137_140d_BG.csv,140,150,250
